X,Y,Time
837.1,396.1,1607623214933
835.5,396.2,1607623214937
833.9,396.1,1607623214941
832.7,396.3,1607623214945
833.1,396.3,1607623214949
833.8,396.3,1607623214953
834.0,395.8,1607623214957
833.5,394.3,1607623214961
832.9,393.0,1607623214965
832.7,392.1,1607623214969
832.6,392.7,1607623214973
832.3,393.5,1607623214977
832.1,394.1,1607623214981
831.8,394.1,1607623214985
831.6,393.6,1607623214989
832.1,392.6,1607623214993
833.1,392.3,1607623214997
834.0,392.4,1607623215001
834.5,393.2,1607623215005
833.7,393.7,1607623215009
832.6,393.2,1607623215013
831.2,392.6,1607623215017
829.9,392.3,1607623215021
829.1,392.3,1607623215025
829.4,392.3,1607623215029
830.7,392.0,1607623215033
832.0,391.6,1607623215037
832.5,391.3,1607623215041
831.8,391.0,1607623215045
831.0,390.5,1607623215049
830.3,390.5,1607623215053
829.8,391.2,1607623215057
829.5,392.1,1607623215061
829.2,392.5,1607623215065
828.8,391.8,1607623215069
828.7,390.6,1607623215073
828.2,390.1,1607623215077
827.7,390.1,1607623215081
827.8,390.6,1607623215085
828.6,391.8,1607623215089
829.6,392.8,1607623215093
830.6,393.6,1607623215097
830.9,393.8,1607623215101
830.8,392.4,1607623215105
830.6,389.9,1607623215109
830.7,387.3,1607623215113
830.7,384.9,1607623215117
830.7,384.1,1607623215121
830.5,383.7,1607623215125
830.5,383.5,1607623215129
830.7,384.2,1607623215133
830.8,385.4,1607623215137
830.6,386.5,1607623215141
829.9,387.3,1607623215145
829.4,387.5,1607623215149
829.1,387.8,1607623215153
829.1,387.9,1607623215157
828.8,387.7,1607623215161
828.5,387.7,1607623215165
828.3,388.0,1607623215169
828.5,388.3,1607623215173
829.0,388.4,1607623215177
829.6,387.9,1607623215181
830.3,387.5,1607623215185
831.0,387.3,1607623215189
831.3,387.5,1607623215193
831.4,387.9,1607623215197
831.5,388.3,1607623215201
831.6,387.6,1607623215205
831.5,386.5,1607623215209
830.9,385.4,1607623215213
830.0,385.3,1607623215217
828.9,386.3,1607623215221
828.1,387.5,1607623215225
827.6,388.7,1607623215229
827.9,389.3,1607623215233
828.3,390.1,1607623215237
828.5,390.4,1607623215241
828.3,390.4,1607623215245
827.8,389.8,1607623215249
827.3,390.0,1607623215253
826.8,390.3,1607623215257
826.6,390.7,1607623215261
826.3,390.7,1607623215265
825.8,390.2,1607623215269
825.3,389.9,1607623215273
824.9,389.6,1607623215277
824.5,389.5,1607623215281
823.9,389.5,1607623215285
823.2,389.8,1607623215289
822.6,389.9,1607623215293
822.4,390.2,1607623215297
822.4,390.5,1607623215301
823.1,390.5,1607623215305
823.6,390.7,1607623215309
822.8,390.9,1607623215313
822.0,391.2,1607623215317
820.7,390.7,1607623215321
820.5,390.2,1607623215325
820.4,389.7,1607623215329
820.0,390.0,1607623215333
819.8,390.5,1607623215337
819.8,390.7,1607623215341
820.3,390.8,1607623215345
820.7,390.6,1607623215349
821.1,390.2,1607623215353
821.5,389.9,1607623215357
821.8,389.8,1607623215361
821.2,390.1,1607623215365
820.2,390.7,1607623215369
819.3,391.1,1607623215373
819.0,389.9,1607623215377
819.2,388.3,1607623215381
819.5,386.7,1607623215385
819.3,386.4,1607623215389
818.5,387.2,1607623215393
817.7,387.9,1607623215397
816.9,387.1,1607623215401
816.6,385.8,1607623215405
816.9,384.6,1607623215409
816.6,383.8,1607623215413
815.8,384.3,1607623215417
814.9,385.0,1607623215421
814.1,385.8,1607623215425
813.9,386.2,1607623215429
813.8,386.2,1607623215433
813.4,386.2,1607623215437
812.5,386.5,1607623215441
811.8,386.9,1607623215445
811.5,387.3,1607623215449
811.6,386.7,1607623215453
811.9,384.9,1607623215457
812.2,383.4,1607623215461
812.9,382.6,1607623215465
813.8,383.0,1607623215469
814.3,383.2,1607623215473
813.8,382.7,1607623215477
812.8,382.1,1607623215481
811.3,381.6,1607623215485
810.0,381.6,1607623215489
809.3,381.3,1607623215493
809.2,380.6,1607623215497
808.8,380.2,1607623215501
808.4,380.1,1607623215505
807.8,380.3,1607623215509
807.5,380.8,1607623215513
807.7,380.9,1607623215517
807.7,381.0,1607623215521
807.4,380.2,1607623215525
807.0,379.0,1607623215529
806.5,377.5,1607623215533
805.9,376.4,1607623215537
804.2,376.4,1607623215541
802.4,377.1,1607623215545
801.2,378.2,1607623215549
801.0,379.8,1607623215553
801.5,380.8,1607623215557
801.7,381.6,1607623215561
801.6,381.8,1607623215565
801.7,381.3,1607623215569
802.2,380.8,1607623215573
802.9,380.3,1607623215577
803.6,380.0,1607623215581
804.2,379.9,1607623215585
804.3,379.6,1607623215589
804.0,379.0,1607623215593
803.6,378.3,1607623215597
802.7,377.8,1607623215601
802.0,377.6,1607623215605
801.7,377.8,1607623215609
801.5,378.2,1607623215613
801.8,378.6,1607623215617
802.1,378.5,1607623215621
802.1,378.1,1607623215625
801.8,377.7,1607623215629
799.2,378.0,1607623215633
792.6,377.6,1607623215637
784.2,372.0,1607623215641
776.0,365.0,1607623215645
771.8,358.3,1607623215649
771.2,355.1,1607623215653
771.5,355.9,1607623215657
771.4,356.7,1607623215661
770.8,357.2,1607623215665
770.2,357.7,1607623215669
769.9,357.9,1607623215673
769.6,357.7,1607623215677
769.2,357.1,1607623215681
768.8,355.8,1607623215685
768.2,354.6,1607623215689
767.8,353.3,1607623215693
767.3,352.1,1607623215697
766.6,350.9,1607623215701
765.9,349.9,1607623215705
765.4,349.5,1607623215709
765.5,349.6,1607623215713
765.6,350.8,1607623215717
765.5,353.0,1607623215721
765.2,354.8,1607623215725
765.0,356.3,1607623215729
765.0,356.0,1607623215733
765.2,355.1,1607623215737
765.2,354.3,1607623215741
764.8,353.4,1607623215745
764.1,352.1,1607623215749
763.5,351.0,1607623215753
763.3,350.0,1607623215757
763.1,349.1,1607623215761
762.5,348.9,1607623215765
761.6,348.6,1607623215769
761.7,348.2,1607623215773
762.1,347.9,1607623215777
762.3,347.6,1607623215781
762.2,347.7,1607623215785
761.7,348.0,1607623215789
761.4,348.5,1607623215793
761.6,348.5,1607623215797
761.6,348.1,1607623215801
761.7,347.7,1607623215805
761.7,347.4,1607623215809
761.1,348.0,1607623215813
760.4,348.8,1607623215817
759.7,349.3,1607623215821
759.2,349.3,1607623215825
759.1,348.3,1607623215829
758.9,347.3,1607623215833
758.8,346.4,1607623215837
758.8,345.8,1607623215841
759.4,345.1,1607623215845
760.1,344.3,1607623215849
760.7,343.5,1607623215853
760.1,342.9,1607623215857
759.0,342.9,1607623215861
758.2,343.1,1607623215865
757.9,343.4,1607623215869
758.2,343.9,1607623215873
758.4,344.1,1607623215877
758.8,344.1,1607623215881
759.8,343.8,1607623215885
761.0,343.3,1607623215889
762.0,342.6,1607623215893
762.6,342.1,1607623215897
762.8,341.8,1607623215901
763.0,341.6,1607623215905
763.3,341.1,1607623215909
763.7,340.4,1607623215913
764.2,339.9,1607623215917
764.4,340.3,1607623215921
764.4,341.3,1607623215925
764.5,342.0,1607623215929
765.4,342.0,1607623215933
766.9,341.6,1607623215937
768.3,341.4,1607623215941
768.5,341.6,1607623215945
768.2,341.6,1607623215949
768.2,341.3,1607623215953
768.6,340.9,1607623215957
769.4,340.5,1607623215961
769.6,340.2,1607623215965
769.7,340.0,1607623215969
769.5,340.3,1607623215973
768.8,340.6,1607623215977
768.2,340.7,1607623215981
767.6,339.8,1607623215985
767.1,338.8,1607623215989
766.8,338.6,1607623215993
766.3,339.7,1607623215997
765.9,341.2,1607623216001
765.5,341.5,1607623216005
765.2,341.5,1607623216009
764.7,341.0,1607623216013
763.6,341.1,1607623216017
762.4,341.6,1607623216021
761.3,342.3,1607623216025
761.1,342.8,1607623216029
762.1,342.9,1607623216033
763.1,342.7,1607623216037
763.7,342.4,1607623216041
763.6,342.2,1607623216045
763.3,342.0,1607623216049
763.0,341.3,1607623216053
762.4,340.3,1607623216057
761.7,339.3,1607623216061
761.2,339.3,1607623216065
760.8,340.9,1607623216069
760.7,342.6,1607623216073
760.9,344.0,1607623216077
761.2,343.8,1607623216081
761.7,342.9,1607623216085
762.2,341.7,1607623216089
761.6,340.2,1607623216093
760.6,339.0,1607623216097
759.5,337.8,1607623216101
758.7,336.9,1607623216105
758.4,336.9,1607623216109
757.8,337.5,1607623216113
757.2,338.6,1607623216117
756.9,339.5,1607623216121
757.0,339.5,1607623216125
757.2,337.8,1607623216129
757.9,335.9,1607623216133
758.4,334.5,1607623216137
759.0,334.2,1607623216141
759.5,334.7,1607623216145
760.1,334.8,1607623216149
761.0,334.4,1607623216153
761.8,333.5,1607623216157
762.2,332.4,1607623216161
762.0,330.8,1607623216165
761.8,329.4,1607623216169
761.7,328.7,1607623216173
761.1,328.5,1607623216177
760.1,329.1,1607623216181
758.8,329.5,1607623216185
757.6,329.9,1607623216189
756.3,330.5,1607623216193
755.2,331.1,1607623216197
754.0,331.9,1607623216201
753.0,332.8,1607623216205
752.4,333.6,1607623216209
751.8,334.2,1607623216213
751.2,334.8,1607623216217
750.1,336.4,1607623216221
748.8,338.4,1607623216225
747.7,340.1,1607623216229
746.8,341.2,1607623216233
746.6,341.3,1607623216237
746.5,340.9,1607623216241
746.1,340.0,1607623216245
745.4,339.0,1607623216249
744.7,338.4,1607623216253
744.3,338.0,1607623216257
744.0,337.7,1607623216261
743.7,337.4,1607623216265
743.2,336.7,1607623216269
742.6,335.8,1607623216273
742.1,334.9,1607623216277
741.4,334.5,1607623216281
740.5,334.7,1607623216285
739.5,334.7,1607623216289
739.0,334.3,1607623216293
739.1,333.3,1607623216297
739.8,331.9,1607623216301
740.3,330.8,1607623216305
740.2,330.0,1607623216309
739.2,330.1,1607623216313
738.6,330.3,1607623216317
738.9,330.3,1607623216321
739.9,329.9,1607623216325
740.5,329.1,1607623216329
740.3,328.5,1607623216333
739.5,328.1,1607623216337
738.5,328.3,1607623216341
738.0,328.5,1607623216345
738.2,328.2,1607623216349
738.9,327.3,1607623216353
740.0,326.5,1607623216357
741.1,325.9,1607623216361
741.8,325.4,1607623216365
742.4,325.0,1607623216369
742.7,324.8,1607623216373
742.3,325.1,1607623216377
742.0,325.6,1607623216381
741.8,326.1,1607623216385
742.0,326.1,1607623216389
742.7,325.9,1607623216393
743.0,326.0,1607623216397
742.7,326.3,1607623216401
742.2,326.7,1607623216405
741.8,326.9,1607623216409
742.3,326.7,1607623216413
742.9,326.5,1607623216417
742.5,327.2,1607623216421
741.7,328.2,1607623216425
740.7,329.5,1607623216429
740.0,329.9,1607623216433
740.3,329.8,1607623216437
740.5,329.6,1607623216441
740.6,329.5,1607623216445
740.1,329.9,1607623216449
739.3,330.9,1607623216453
738.4,332.0,1607623216457
737.4,332.7,1607623216461
736.4,332.7,1607623216465
735.5,332.8,1607623216469
734.7,333.1,1607623216473
734.5,333.2,1607623216477
735.2,332.4,1607623216481
736.5,330.3,1607623216485
737.9,328.5,1607623216489
738.3,327.7,1607623216493
737.8,327.7,1607623216497
737.1,328.5,1607623216501
736.6,328.5,1607623216505
736.8,328.0,1607623216509
736.9,326.9,1607623216513
736.8,325.8,1607623216517
736.6,324.3,1607623216521
736.3,322.9,1607623216525
735.9,322.0,1607623216529
735.6,321.7,1607623216533
735.7,321.7,1607623216537
736.0,321.7,1607623216541
736.2,321.7,1607623216545
736.3,321.8,1607623216549
736.3,322.4,1607623216553
736.4,323.3,1607623216557
736.2,324.6,1607623216561
735.8,325.2,1607623216565
735.2,323.9,1607623216569
735.0,321.7,1607623216573
735.2,319.1,1607623216577
735.8,317.8,1607623216581
736.6,319.1,1607623216585
737.1,320.8,1607623216589
737.0,322.6,1607623216593
736.7,323.3,1607623216597
736.2,323.9,1607623216601
736.1,324.7,1607623216605
736.5,325.2,1607623216609
736.8,325.4,1607623216613
736.8,324.7,1607623216617
736.6,323.8,1607623216621
736.5,323.0,1607623216625
736.9,321.9,1607623216629
738.2,321.1,1607623216633
739.3,320.9,1607623216637
740.2,321.8,1607623216641
739.7,323.0,1607623216645
738.6,323.6,1607623216649
737.5,323.2,1607623216653
737.0,322.6,1607623216657
737.1,322.3,1607623216661
736.9,322.6,1607623216665
736.4,323.2,1607623216669
735.8,323.8,1607623216673
735.6,324.4,1607623216677
736.0,324.8,1607623216681
736.6,324.4,1607623216685
736.7,322.5,1607623216689
736.2,320.6,1607623216693
735.4,319.0,1607623216697
734.2,318.3,1607623216701
733.4,318.1,1607623216705
733.2,317.5,1607623216709
733.8,316.5,1607623216713
734.3,315.4,1607623216717
734.5,314.6,1607623216721
734.0,314.7,1607623216725
733.5,315.8,1607623216729
733.4,317.3,1607623216733
733.2,318.6,1607623216737
733.1,319.7,1607623216741
733.1,320.7,1607623216745
733.3,320.0,1607623216749
733.6,319.1,1607623216753
734.0,318.0,1607623216757
734.2,317.0,1607623216761
734.4,317.3,1607623216765
734.7,317.1,1607623216769
735.0,316.6,1607623216773
735.3,316.5,1607623216777
734.8,316.8,1607623216781
733.9,317.2,1607623216785
733.3,317.1,1607623216789
732.8,315.9,1607623216793
732.7,314.6,1607623216797
732.3,313.8,1607623216801
731.7,313.4,1607623216805
731.5,313.4,1607623216809
732.2,312.4,1607623216813
733.1,311.6,1607623216817
733.7,311.3,1607623216821
732.8,311.7,1607623216825
731.0,312.9,1607623216829
729.1,313.8,1607623216833
728.0,314.3,1607623216837
727.7,314.1,1607623216841
727.7,313.9,1607623216845
727.9,313.7,1607623216849
727.9,314.1,1607623216853
727.2,314.0,1607623216857
726.3,313.4,1607623216861
725.9,313.6,1607623216865
725.9,314.9,1607623216869
726.3,317.0,1607623216873
726.2,319.1,1607623216877
726.0,319.6,1607623216881
725.9,320.0,1607623216885
725.6,320.1,1607623216889
724.8,320.2,1607623216893
723.9,320.2,1607623216897
723.1,320.2,1607623216901
722.9,320.1,1607623216905
722.8,320.0,1607623216909
722.7,319.9,1607623216913
722.8,319.6,1607623216917
723.2,319.4,1607623216921
724.4,318.7,1607623216925
725.3,317.5,1607623216929
726.3,315.8,1607623216933
726.6,314.2,1607623216937
726.6,313.4,1607623216941
726.6,312.8,1607623216945
726.5,312.5,1607623216949
726.5,312.0,1607623216953
726.6,311.1,1607623216957
726.6,310.5,1607623216961
726.7,310.3,1607623216965
726.5,310.7,1607623216969
726.5,311.5,1607623216973
727.4,310.2,1607623216977
728.5,309.3,1607623216981
729.5,308.8,1607623216985
729.8,308.9,1607623216989
729.3,309.0,1607623216993
728.6,308.0,1607623216997
728.1,307.0,1607623217001
727.5,306.6,1607623217005
726.8,307.1,1607623217009
726.3,308.0,1607623217013
726.1,309.1,1607623217017
726.0,310.3,1607623217021
725.9,311.1,1607623217025
725.7,310.3,1607623217029
725.5,309.3,1607623217033
725.3,308.3,1607623217037
724.6,308.2,1607623217041
723.9,308.6,1607623217045
723.4,307.9,1607623217049
723.6,306.8,1607623217053
724.1,305.6,1607623217057
724.1,305.5,1607623217061
723.9,306.1,1607623217065
723.4,306.8,1607623217069
722.7,307.1,1607623217073
721.8,307.3,1607623217077
721.1,307.0,1607623217081
720.8,306.2,1607623217085
720.9,305.6,1607623217089
721.2,304.8,1607623217093
721.9,305.0,1607623217097
723.4,305.6,1607623217101
724.6,306.4,1607623217105
724.8,307.1,1607623217109
723.5,307.5,1607623217113
722.1,307.3,1607623217117
721.2,306.6,1607623217121
720.7,305.9,1607623217125
720.4,305.2,1607623217129
720.1,304.7,1607623217133
720.3,304.7,1607623217137
720.9,305.2,1607623217141
721.5,305.8,1607623217145
722.1,306.3,1607623217149
722.1,306.6,1607623217153
721.3,306.3,1607623217157
720.5,305.5,1607623217161
719.8,303.9,1607623217165
719.5,301.9,1607623217169
719.5,300.8,1607623217173
720.2,300.2,1607623217177
724.0,299.2,1607623217181
729.3,295.5,1607623217185
733.9,289.9,1607623217189
734.9,284.9,1607623217193
728.9,282.3,1607623217197
722.6,282.5,1607623217201
718.0,283.0,1607623217205
717.6,281.0,1607623217209
719.0,278.3,1607623217213
720.0,276.2,1607623217217
720.1,275.3,1607623217221
719.6,275.7,1607623217225
719.1,275.8,1607623217229
718.8,276.0,1607623217233
719.0,276.4,1607623217237
719.4,276.9,1607623217241
719.4,277.2,1607623217245
719.1,276.8,1607623217249
718.7,276.1,1607623217253
718.1,275.3,1607623217257
718.2,274.4,1607623217261
718.9,272.9,1607623217265
719.6,271.2,1607623217269
720.1,269.9,1607623217273
719.6,269.3,1607623217277
718.8,268.5,1607623217281
718.0,267.9,1607623217285
717.4,267.8,1607623217289
717.0,268.2,1607623217293
717.0,268.4,1607623217297
717.1,267.6,1607623217301
717.2,266.6,1607623217305
717.4,266.0,1607623217309
717.4,265.5,1607623217313
717.1,265.3,1607623217317
716.4,265.2,1607623217321
715.4,265.1,1607623217325
714.5,264.7,1607623217329
713.8,264.3,1607623217333
713.5,264.1,1607623217337
713.5,264.4,1607623217341
713.6,265.2,1607623217345
713.5,265.6,1607623217349
713.2,265.6,1607623217353
712.9,265.2,1607623217357
712.9,264.3,1607623217361
713.4,263.0,1607623217365
713.7,262.0,1607623217369
713.7,261.0,1607623217373
713.5,260.5,1607623217377
713.3,260.0,1607623217381
713.2,259.7,1607623217385
712.9,259.4,1607623217389
712.4,259.3,1607623217393
711.9,259.1,1607623217397
711.6,258.9,1607623217401
711.4,258.7,1607623217405
711.3,258.5,1607623217409
711.1,258.5,1607623217413
710.7,258.2,1607623217417
710.4,257.8,1607623217421
710.2,257.4,1607623217425
710.4,257.0,1607623217429
710.4,256.9,1607623217433
709.9,257.3,1607623217437
708.9,258.5,1607623217441
707.6,259.4,1607623217445
706.6,259.9,1607623217449
706.1,259.6,1607623217453
705.6,258.0,1607623217457
706.0,250.9,1607623217461
706.6,244.1,1607623217465
707.3,237.4,1607623217469
708.3,232.8,1607623217473
708.2,233.1,1607623217477
0.0,0.0,1607623217481
0.0,0.0,1607623217485
0.0,0.0,1607623217489
0.0,0.0,1607623217493
0.0,0.0,1607623217497
0.0,0.0,1607623217501
0.0,0.0,1607623217505
0.0,0.0,1607623217509
-1360.2,812.1,1607623217513
0.0,0.0,1607623217517
0.0,0.0,1607623217521
0.0,0.0,1607623217525
0.0,0.0,1607623217529
0.0,0.0,1607623217533
0.0,0.0,1607623217537
0.0,0.0,1607623217541
691.3,214.4,1607623217545
691.9,215.0,1607623217549
692.4,215.6,1607623217553
692.7,216.4,1607623217557
692.0,216.8,1607623217561
691.0,216.9,1607623217565
690.1,217.3,1607623217569
689.7,218.3,1607623217573
689.1,219.5,1607623217577
688.0,221.1,1607623217581
687.4,222.6,1607623217585
687.7,223.3,1607623217589
688.8,223.8,1607623217593
689.1,224.0,1607623217597
687.6,224.3,1607623217601
686.9,224.3,1607623217605
686.5,224.5,1607623217609
686.5,224.9,1607623217613
686.4,225.4,1607623217617
685.3,225.7,1607623217621
685.1,225.7,1607623217625
685.1,225.8,1607623217629
684.9,226.4,1607623217633
684.0,227.4,1607623217637
683.1,228.1,1607623217641
682.7,228.4,1607623217645
683.5,228.0,1607623217649
684.4,227.5,1607623217653
684.8,227.0,1607623217657
684.3,226.8,1607623217661
683.7,226.6,1607623217665
683.1,226.2,1607623217669
682.7,226.0,1607623217673
682.4,226.0,1607623217677
682.3,226.3,1607623217681
682.1,226.2,1607623217685
681.9,225.3,1607623217689
681.9,224.3,1607623217693
682.0,223.8,1607623217697
681.9,224.5,1607623217701
681.4,225.6,1607623217705
680.5,227.3,1607623217709
679.7,227.0,1607623217713
679.3,226.2,1607623217717
679.3,225.1,1607623217721
679.5,224.7,1607623217725
679.4,225.7,1607623217729
678.8,226.3,1607623217733
677.9,226.3,1607623217737
677.2,225.8,1607623217741
677.9,224.8,1607623217745
679.1,223.4,1607623217749
680.0,222.2,1607623217753
679.8,221.5,1607623217757
678.6,221.5,1607623217761
677.3,222.5,1607623217765
676.7,223.7,1607623217769
676.3,224.8,1607623217773
676.5,225.3,1607623217777
676.7,225.5,1607623217781
676.8,225.4,1607623217785
676.5,225.6,1607623217789
676.1,225.5,1607623217793
675.6,225.5,1607623217797
675.6,225.3,1607623217801
676.2,224.4,1607623217805
676.6,223.1,1607623217809
676.9,222.3,1607623217813
677.1,221.8,1607623217817
677.4,222.4,1607623217821
677.9,222.5,1607623217825
678.1,222.3,1607623217829
678.1,222.2,1607623217833
678.4,222.4,1607623217837
679.1,223.3,1607623217841
679.3,224.3,1607623217845
679.0,224.7,1607623217849
677.9,224.6,1607623217853
676.7,224.3,1607623217857
676.1,224.2,1607623217861
